Unnamed: 0,Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),hard_mode_percentage,mean_tries,entropy with freq,has_duplicate,duplicate_count,letter_freq_sum,first_letter_freq
358,2022-01-07,202,slump,80630,1362,1,3,23,39,24,9,1,0.01689197569142999,4.13,4.514937272326842,0,0,382,51
357,2022-01-08,203,crank,101503,1763,1,5,23,31,24,14,2,0.017368944760253392,4.22,4.595244681557157,0,0,487,33
356,2022-01-09,204,gorge,91477,1913,1,3,13,27,30,22,4,0.020912360484056102,4.64,4.381783068179974,1,1,553,17
355,2022-01-10,205,query,107134,2242,1,4,16,30,30,17,2,0.02092706330389979,4.43,3.9991706808812335,0,0,448,3
354,2022-01-11,206,drink,153880,3017,1,9,35,34,16,5,1,0.019606186638939434,3.77,4.470440783723142,0,0,412,12
353,2022-01-12,207,favor,137586,3073,1,4,15,26,29,21,4,0.022335121305946826,4.57,4.268090412056551,0,0,484,22
352,2022-01-13,208,abbey,132726,3345,1,2,13,29,31,20,3,0.025202296460377017,4.56,3.9981296618810407,1,1,466,28
351,2022-01-14,209,tangy,169484,3985,1,4,21,30,24,15,5,0.02351254395695169,4.37,4.649492387448483,0,0,489,30
350,2022-01-15,210,panic,205880,4655,1,9,35,34,16,5,1,0.022610258402953175,3.77,4.716679298024068,0,0,483,23
349,2022-01-16,211,solar,209609,4955,1,9,32,32,18,7,1,0.023639252131349323,3.82,5.743181887456772,0,0,625,51
348,2022-01-17,212,shire,222197,5640,1,8,32,32,18,8,2,0.025382880956988617,3.93,5.464457693409524,0,0,576,51
347,2022-01-18,213,proxy,220950,6206,1,2,11,24,31,26,6,0.028087802670287397,4.87,3.882340991141335,0,0,400,23
346,2022-01-19,214,point,280622,7094,1,16,37,28,12,4,1,0.02527955755429011,3.47,4.838492838776702,0,0,516,23
345,2022-01-20,215,robot,243964,6589,1,8,29,34,20,8,1,0.027008083159810462,3.95,4.115057935119005,1,1,561,13
344,2022-01-21,216,prick,273727,7409,1,8,30,33,19,7,1,0.027067114314627348,3.83,4.181850316638119,0,0,405,23
343,2022-01-22,217,wince,241489,6850,1,3,17,33,29,15,3,0.02836568125256223,4.46,4.538990905466226,0,0,474,11
342,2022-01-23,218,crimp,269929,7630,1,5,28,38,20,7,1,0.02826669235243342,3.96,4.259350207857309,0,0,425,33
341,2022-01-24,219,knoll,258038,8317,1,1,11,29,33,21,4,0.032231686805819296,4.71,3.747631632271327,1,1,480,3
340,2022-01-25,220,sugar,276404,8708,1,6,25,34,23,9,1,0.03150460919523596,4.0,5.152094871254251,0,0,495,51
339,2022-01-26,221,whack,302348,10163,1,4,22,37,24,10,2,0.03361358434651461,4.17,3.6669272453164004,0,0,365,11
338,2022-01-27,222,mount,331844,11451,1,9,29,33,19,7,1,0.03450717807162402,3.82,4.607019864953495,0,0,470,20
337,2022-01-28,223,perky,296968,11148,1,4,17,30,27,17,4,0.037539398184316154,4.45,4.565975173955298,0,0,478,23
336,2022-01-29,224,could,313220,11592,1,7,29,35,20,8,1,0.037009130962262944,3.97,4.560436500906091,0,0,434,33
335,2022-01-30,225,wrung,294687,11524,0,2,18,39,27,12,2,0.03910589880110083,4.35,3.8869640670678653,0,0,367,11
334,2022-01-31,226,light,341314,13347,1,10,25,27,19,12,5,0.03910475398020591,4.06,4.245743938634077,0,0,464,13
333,2022-02-01,227,those,351663,13606,1,13,34,30,15,6,1,0.03869045080090883,3.67,5.2086864467272065,0,0,604,30
332,2022-02-02,228,moist,361908,14205,3,13,32,29,16,7,1,0.03925030670778209,3.7,5.078034625961311,0,0,506,20
331,2022-02-03,229,shard,358176,14609,1,7,22,28,25,14,4,0.04078721075672295,4.3,5.165312492810795,0,0,504,51
330,2022-02-04,230,pleat,359679,14813,1,10,28,31,19,9,2,0.041183944572799634,3.92,5.148672701424032,0,0,649,23
329,2022-02-05,231,aloft,319698,13708,1,4,22,36,25,11,2,0.04287796608048846,4.24,4.631696606013419,0,0,567,28
328,2022-02-06,232,skill,311018,13716,1,3,17,33,27,16,3,0.04410034145933676,4.42,4.148628624960396,1,1,447,51
327,2022-02-07,233,elder,288228,13340,1,3,13,24,30,24,5,0.04628280389136378,4.71,4.53347802654769,1,1,668,10
326,2022-02-08,234,frame,336236,15369,1,10,20,24,24,17,3,0.045708966321274344,4.2,4.8479008825664165,0,0,565,22
325,2022-02-09,235,humor,305372,13846,1,5,22,34,25,11,2,0.04534141964554707,4.18,4.393619105751934,0,0,456,11
324,2022-02-10,236,pause,304830,13480,1,8,26,32,21,10,2,0.04422136928779976,4.02,5.374856045531391,0,0,558,23
323,2022-02-11,237,ulcer,278826,10631,1,4,18,30,28,16,3,0.038127721231162086,4.4,4.834050845425765,0,0,565,8
322,2022-02-12,238,ultra,269885,9310,1,7,23,34,24,10,1,0.034496174296459604,4.07,4.916074224894983,0,0,599,8
321,2022-02-13,239,robin,277471,3249,1,6,29,34,21,8,1,0.011709331786024485,3.96,4.7504049018891426,0,0,487,13
320,2022-02-14,240,cynic,261521,10343,1,6,25,33,22,11,2,0.03954940521028904,4.1,3.5150621437484046,1,1,392,33
319,2022-02-15,241,aroma,287836,10343,1,6,25,33,22,11,2,0.03593365666560124,4.1,4.457878048693403,1,1,640,28
318,2022-02-16,242,caulk,289721,10740,1,4,20,31,26,15,3,0.03707014679640067,4.34,4.489015667989414,0,0,441,33
317,2022-02-17,243,shake,342003,12767,1,6,16,23,24,21,9,0.03733008189986638,4.62,5.179663856875875,0,0,535,51
316,2022-02-18,244,dodge,265238,10220,1,3,15,29,27,19,7,0.03853143214773147,4.66,4.075319861765811,1,1,476,12
315,2022-02-19,245,swill,282327,11241,1,1,8,19,31,30,10,0.03981553305209916,5.08,4.06115676714676,1,1,442,51
314,2022-02-20,246,tacit,273306,11094,1,4,21,32,26,14,3,0.040591864064455224,4.35,4.354786514973257,1,1,591,30
313,2022-02-21,247,other,278731,10887,1,9,26,30,21,10,2,0.03905916457085864,3.96,4.8655547179788865,0,0,651,4
312,2022-02-22,248,thorn,306356,11814,1,14,38,30,12,4,0,0.03856297901787463,3.47,4.709607944487043,0,0,555,30
311,2022-02-23,249,trove,277576,11411,1,5,16,24,25,22,8,0.0411094619131337,4.68,4.8218697255858025,0,0,606,30
310,2022-02-24,250,bloke,250674,10405,1,6,21,32,25,12,2,0.04150809417809585,4.15,4.621836685133417,0,0,495,20
309,2022-02-25,251,vivid,255907,11687,1,2,10,29,33,21,4,0.04566893441758139,4.7,2.565394050211667,1,2,306,6
308,2022-02-26,252,spill,248363,10087,1,5,26,34,22,10,2,0.040613940079641496,4.09,4.278925109960684,1,1,476,51
307,2022-02-27,253,chant,250413,10438,1,9,33,33,16,7,1,0.04168313945362261,3.79,4.553630789480175,0,0,518,33
306,2022-02-28,254,choke,251094,10521,1,8,30,36,18,6,1,0.04190064278716337,3.84,4.412294515497698,0,0,493,33
305,2022-03-01,255,rupee,240137,10577,1,2,17,35,30,13,2,0.044045690584957754,4.38,4.561204695013479,1,1,630,13
304,2022-03-02,256,nasty,257304,10813,1,7,26,31,21,11,2,0.042024220377452355,4.02,5.1050794707195895,0,0,525,6
303,2022-03-03,257,mourn,240018,10465,1,8,29,34,19,8,1,0.04360089659942171,3.9,4.682027282710411,0,0,474,20
302,2022-03-04,258,ahead,203730,9396,1,5,20,35,26,12,2,0.0461198645265793,4.27,4.372205425608123,1,1,626,28
301,2022-03-05,259,brine,229895,10405,1,9,25,29,22,12,3,0.04525979251397377,4.13,5.043220159792035,0,0,538,20
300,2022-03-06,260,cloth,218595,9911,1,8,33,34,17,7,1,0.04533955488460395,3.86,4.425409642973951,0,0,516,33
299,2022-03-07,261,hoard,218595,9823,1,9,30,34,19,7,1,0.04493698392003477,3.89,4.978589016826151,0,0,550,11
298,2022-03-08,262,sweet,207473,9767,1,5,18,31,28,15,2,0.0470760050705393,4.33,4.652524978291197,1,1,615,51
297,2022-03-09,263,month,201799,9435,1,5,26,37,22,8,1,0.04675444377821496,4.02,4.451684790603233,0,0,476,20
296,2022-03-10,264,lapse,208884,9960,0,8,31,34,19,7,1,0.04768196702476015,3.89,5.4877201762750705,0,0,606,13
295,2022-03-11,265,watch,226349,12400,1,6,14,18,17,24,20,0.054782658637767344,4.96,4.117771376042325,0,0,460,11
294,2022-03-12,266,today,192049,9353,1,7,29,35,20,7,1,0.04870111273685362,3.91,4.891266007988543,0,0,537,30
293,2022-03-13,267,focus,179436,8937,1,4,23,36,24,10,1,0.0498060589848191,4.09,4.544127525779189,0,0,388,22
292,2022-03-14,268,smelt,185406,9373,0,5,19,33,28,13,2,0.05055391950638059,4.31,5.190697214165171,0,0,568,51
291,2022-03-15,269,tease,202855,10024,1,16,32,30,16,6,1,0.0494146064923221,3.72,5.277321647807872,1,1,744,30
290,2022-03-16,270,cater,217856,11234,1,7,19,22,19,18,15,0.05156617215041128,4.68,5.437894504992105,0,0,678,33
289,2022-03-17,271,movie,169071,8847,1,5,18,30,26,16,3,0.05232712883936334,4.32,4.568932591864615,0,0,498,20
288,2022-03-18,272,saute,179830,9304,1,8,31,34,19,6,1,0.051737752321637104,3.84,5.800877211145375,0,0,624,51
287,2022-03-19,273,allow,156311,8515,0,5,21,32,26,14,3,0.05447473306421173,4.36,3.8909096693958523,1,1,546,28
286,2022-03-20,274,renew,154987,8417,0,4,20,33,27,13,2,0.05430778065257086,4.27,4.373143805436669,1,1,620,13
285,2022-03-21,275,their,173636,9200,2,14,36,30,13,4,0,0.052984404155820224,3.47,4.997307293602499,0,0,619,30
284,2022-03-22,276,slosh,160161,8807,0,2,19,36,27,13,2,0.05498841790448361,4.32,4.464222825488882,1,1,489,51
283,2022-03-23,277,purge,156785,8555,1,4,22,35,26,11,2,0.054565168861817136,4.25,4.691719422227635,0,0,497,23
282,2022-03-24,278,chest,169066,9318,1,14,35,31,14,5,1,0.05511457064105142,3.65,4.741837485396472,0,0,542,33
281,2022-03-25,279,depot,150197,8562,0,5,29,36,20,7,1,0.05700513325832074,3.9,4.85322136867976,0,0,565,12
280,2022-03-26,280,epoxy,149507,9376,0,2,13,31,33,18,3,0.06271278267907188,4.61,3.791638346025392,0,0,450,10
279,2022-03-27,281,nymph,165468,9935,1,2,18,44,26,26,9,0.0600418207750139,5.84,3.6074312176437706,0,0,338,6
278,2022-03-28,282,found,173696,10613,1,6,17,22,20,21,14,0.06110100405305822,4.76,4.221051823019366,0,0,372,22
277,2022-03-29,283,shall,149070,8494,0,3,17,30,28,17,4,0.05697994230898236,4.47,4.47742950472433,1,1,540,51
276,2022-03-30,284,stove,158139,9318,0,5,16,24,27,21,6,0.05892284635668621,4.57,4.930847928142465,0,0,559,51
275,2022-03-31,285,lowly,135219,8469,0,2,9,26,32,24,8,0.06263173074789785,4.95,3.5887650892612073,1,1,448,13
274,2022-04-01,286,snout,144648,8913,1,4,19,27,26,18,5,0.061618549858967975,4.47,5.089420475023273,0,0,502,51
273,2022-04-02,287,trope,155079,9315,1,16,33,28,15,6,1,0.060066159828216587,3.62,5.204614214744099,0,0,645,30
272,2022-04-03,288,fewer,124532,7931,0,2,10,24,32,26,6,0.063686442038994,4.88,3.921556423124922,1,1,565,22
271,2022-04-04,289,shawl,129651,7943,0,3,16,31,30,16,3,0.06126447154283422,4.45,4.660804117501699,0,0,458,51
270,2022-04-05,290,natal,121356,7702,0,2,14,32,32,17,3,0.06346616566135997,4.57,4.523848273948498,1,1,648,6
269,2022-04-06,291,comma,117856,7560,0,2,13,33,33,17,3,0.0641460765680152,4.63,3.9050443385017872,1,1,473,33
268,2022-04-07,292,foray,117761,7575,0,2,14,31,31,19,4,0.06432520104279006,4.67,4.739373464412324,0,0,520,22
267,2022-04-08,293,scare,141158,9010,1,12,23,26,21,13,4,0.06382918431828165,4.09,5.637636613514638,0,0,635,51
266,2022-04-09,294,stair,134210,8537,2,21,36,26,11,4,1,0.06360926905595708,3.42,5.577625012265721,0,0,611,51
265,2022-04-10,295,black,126241,7894,1,10,31,34,18,6,1,0.06253119034228183,3.83,4.1378266545307625,0,0,408,20
264,2022-04-11,296,squad,109828,7236,0,3,20,33,27,14,2,0.06588483811050005,4.31,4.330359018256318,0,0,369,51
263,2022-04-12,297,royal,114907,7275,1,5,24,36,23,9,1,0.06331206976076305,4.03,5.0332261997702314,0,0,599,13
262,2022-04-13,298,chunk,123255,7835,1,4,29,42,18,5,1,0.06356740091679851,3.91,3.7232237054969923,0,0,328,33
261,2022-04-14,299,mince,113448,7356,0,6,24,35,24,10,1,0.06484027924687963,4.11,4.792828776064018,0,0,499,20
260,2022-04-15,300,shame,129991,8522,1,11,22,25,21,15,5,0.06555838481125617,4.19,5.284986230697579,0,0,555,51
259,2022-04-16,301,cheek,107987,7035,0,3,19,40,28,9,1,0.06514673062498264,4.24,3.845954943029028,1,1,544,33
258,2022-04-17,302,ample,106681,7008,0,4,20,35,27,11,2,0.0656911727486619,4.23,4.85337937189752,0,0,574,28
257,2022-04-18,303,flair,112383,7341,1,8,30,36,18,6,1,0.06532126745148288,3.84,4.796883149548039,0,0,539,22
256,2022-04-19,304,foyer,108899,8198,0,2,10,19,19,23,26,0.07528076474531446,5.25,4.717918127283912,0,0,545,22
255,2022-04-20,305,cargo,102007,6796,0,5,20,34,27,12,2,0.06662287882204163,4.27,4.831687656434311,0,0,548,33
254,2022-04-21,306,oxide,97955,6960,0,2,11,30,33,21,4,0.07105303455668419,4.76,4.2755056418775625,0,0,480,4
253,2022-04-22,307,plant,119232,7731,2,19,39,28,10,3,0,0.06483997584541062,3.37,4.838228683160171,0,0,553,23
252,2022-04-23,308,olive,95562,6482,1,6,25,34,23,10,1,0.06783030911868734,4.06,4.623662966748657,0,0,555,4
251,2022-04-24,309,inert,97452,6743,0,7,27,34,22,9,1,0.06919303862414317,4.02,5.0343436529670855,0,0,637,10
250,2022-04-25,310,askew,91548,6549,0,3,13,29,32,19,4,0.07153624328221261,4.63,4.598017895604836,0,0,495,28
249,2022-04-26,311,heist,103153,6830,1,13,32,31,16,6,1,0.0662123253807451,3.7,5.20333860262526,0,0,572,11
248,2022-04-27,312,shown,98967,6564,0,6,26,36,22,8,1,0.06632513868259117,3.99,4.448224707117253,0,0,408,51
247,2022-04-28,313,zesty,88974,6315,0,2,12,27,30,22,7,0.07097579068042349,4.79,4.434023773597183,0,0,467,1
246,2022-04-29,314,trash,106652,7001,2,19,34,27,13,4,1,0.06564340096763305,3.46,5.158160141938997,0,0,580,30
245,2022-04-30,315,larva,77991,5749,0,2,10,25,35,23,4,0.07371363362439255,4.75,4.16218942975518,1,1,589,13
244,2022-05-01,316,forgo,77658,5699,0,1,9,26,37,23,3,0.07338587138478972,4.77,3.6734443721930696,1,1,484,22
243,2022-05-02,317,story,95643,6530,1,10,23,29,24,11,2,0.06827472998546678,4.06,5.128156230791515,0,0,545,51
242,2022-05-03,318,hairy,85817,5941,1,8,24,33,23,10,1,0.06922870759872753,4.03,4.917948651279633,0,0,525,11
241,2022-05-04,319,train,107750,7243,6,26,32,22,10,3,0,0.06722041763341068,3.1,5.287311479880693,0,0,612,30
240,2022-05-05,320,homer,85979,6313,0,3,16,26,24,19,12,0.07342490608171763,4.76,4.938484911543591,0,0,576,11
239,2022-05-06,321,badge,76292,5482,0,4,20,35,26,12,2,0.07185550254286163,4.24,4.709751661365351,0,0,479,20
238,2022-05-07,322,midst,74458,5233,0,3,25,39,24,9,1,0.07028123237261275,4.18,4.719637972483362,0,0,427,20
237,2022-05-08,323,canny,72518,5256,0,2,10,30,34,20,4,0.07247855704790535,4.72,4.025367506075738,1,1,467,33
236,2022-05-09,324,shine,88932,6146,1,14,32,30,17,6,1,0.06910898214366032,3.73,5.311019566706845,0,0,530,51
235,2022-05-10,325,gecko,74412,5489,0,2,16,38,29,12,2,0.07376498414234263,4.35,4.247344665463656,0,0,474,17
234,2022-05-11,326,farce,79446,5688,0,9,26,32,21,9,1,0.07159580092138056,3.9,5.000648453396059,0,0,581,22
233,2022-05-12,327,slung,75673,5419,0,2,16,37,31,13,2,0.0716107462370991,4.47,4.631566218686278,0,0,402,51
232,2022-05-13,328,tipsy,77585,5522,0,6,33,38,17,5,1,0.07117355158858027,3.85,4.680939256696169,0,0,443,30
231,2022-05-14,329,metal,73225,5290,1,10,31,34,18,7,1,0.07224308637760328,3.89,5.180317014668057,0,0,640,20
230,2022-05-15,330,yield,67115,4963,0,4,16,29,29,18,4,0.07394770170602696,4.53,4.811493693802967,0,0,512,2
229,2022-05-16,331,delve,68349,5179,0,2,14,32,33,16,2,0.07577287158553893,4.49,4.051039359501105,1,1,559,12
228,2022-05-17,332,being,70722,5142,0,4,22,37,26,10,1,0.07270721981844405,4.19,4.525696172348835,0,0,455,20
227,2022-05-18,333,scour,73933,5544,0,8,34,35,17,5,1,0.07498681238418568,3.8,4.97426213977667,0,0,489,51
226,2022-05-19,334,glass,70920,5162,0,4,19,33,27,14,3,0.07278623801466441,4.37,4.640024820643821,1,1,496,17
225,2022-05-20,335,gamer,69884,5238,1,4,17,28,26,18,6,0.07495277889073322,4.52,5.097234788033237,0,0,583,17
224,2022-05-21,336,scrap,66814,4973,1,9,28,34,20,8,1,0.07443050857604694,3.94,5.058243878809569,0,0,515,51
223,2022-05-22,337,money,67909,4928,1,7,26,36,21,8,1,0.07256770089384323,3.97,4.947694851925793,0,0,521,20
222,2022-05-23,338,hinge,66431,4906,0,5,25,37,22,9,2,0.0738510635095061,4.11,4.632837240171994,0,0,494,11
221,2022-05-24,339,album,63380,4809,0,5,26,35,24,9,1,0.07587567055853582,4.09,4.230350055517689,0,0,421,28
220,2022-05-25,340,vouch,62723,4835,0,2,9,25,33,24,6,0.07708496085965276,4.82,3.6757603507687207,0,0,363,6
219,2022-05-26,341,asset,63188,4733,0,7,28,34,21,8,1,0.07490346268278787,3.94,4.9940083644599875,1,1,647,28
218,2022-05-27,342,tiara,63846,4842,0,8,36,33,17,6,1,0.07583873696081195,3.84,4.827899150762441,1,1,683,30
217,2022-05-28,343,crept,60069,4562,0,4,27,38,22,7,1,0.07594599543857897,4.0,4.756509839531275,0,0,583,33
216,2022-05-29,344,bayou,56839,4435,0,6,17,33,29,13,2,0.07802741075669875,4.32,4.400460355268193,0,0,448,20
215,2022-05-30,345,atoll,60969,4741,0,6,28,36,21,8,1,0.07776082927389329,4.0,4.3275523312916295,1,1,646,28
214,2022-05-31,346,manor,62768,4802,0,6,27,34,21,10,2,0.07650395105786388,4.08,5.1038195467840595,0,0,569,20
213,2022-06-01,347,creak,63241,4797,0,5,21,32,25,14,3,0.07585269050141522,4.31,4.895294174818795,0,0,583,33
212,2022-06-02,348,showy,61278,4770,0,2,16,37,30,13,2,0.07784196612160971,4.42,4.312539948320904,0,0,381,51
211,2022-06-03,349,peach,65431,4957,1,13,38,32,13,3,0,0.0757591967110391,3.52,4.673508568325412,0,0,548,23
210,2022-06-04,350,froth,58263,4432,0,5,22,35,25,11,1,0.07606886016854608,4.14,4.3010710602044515,0,0,500,22
209,2022-06-05,351,depth,56738,4329,0,6,28,39,20,6,1,0.07629807183897917,3.95,4.467155567890598,0,0,502,12
208,2022-06-06,352,gloom,58478,4548,0,2,14,35,35,13,1,0.07777283764834639,4.46,3.6976344004227597,1,1,484,17
207,2022-06-07,353,flood,58991,4440,0,3,20,40,28,8,1,0.07526571849943212,4.21,3.6926663185729893,1,1,465,22
206,2022-06-08,354,trait,61026,4607,0,6,22,35,24,11,2,0.07549241306983909,4.18,4.664895700719042,1,1,654,30
205,2022-06-09,355,girth,60020,4665,0,6,23,33,23,12,3,0.07772409196934356,4.21,4.502955623041411,0,0,486,17
204,2022-06-10,356,piety,55376,4324,0,4,25,41,22,7,1,0.07808436867957237,4.06,4.801628519497281,0,0,540,23
203,2022-06-11,357,goose,51958,4087,0,2,12,28,32,21,5,0.0786596866700027,4.73,4.58523011820257,1,1,588,17
202,2022-06-12,358,float,56684,4323,1,12,30,32,18,6,1,0.07626490720485499,3.76,4.71254805717151,0,0,567,22
201,2022-06-13,359,donor,53802,4142,0,3,27,38,23,7,1,0.07698598565109104,4.03,4.309388521968451,1,1,542,12
200,2022-06-14,360,atone,59968,4762,2,16,34,29,14,4,1,0.0794090181430096,3.53,5.331345962728237,0,0,694,28
199,2022-06-15,361,primo,55989,4391,0,3,22,38,25,10,2,0.07842611941631392,4.23,4.602452866482084,0,0,487,23
198,2022-06-16,362,apron,53430,4112,0,7,30,38,19,5,1,0.0769605090772974,3.88,4.9271849928435625,0,0,578,28
197,2022-06-17,363,blown,54665,4251,0,6,23,35,26,10,1,0.07776456599286563,4.18,4.017164870506331,0,0,394,20
196,2022-06-18,364,cacao,47205,4101,0,1,9,27,36,23,4,0.08687639021290118,4.83,3.635745140170319,1,2,593,33
195,2022-06-19,365,loser,55359,4399,1,10,28,32,19,8,2,0.07946314059141242,3.9,5.656371735480511,0,0,650,13
194,2022-06-20,366,input,50484,3950,0,5,30,38,21,6,1,0.07824261152048173,4.0,4.219575552095203,0,0,447,10
193,2022-06-21,367,gloat,53342,4194,0,8,21,31,26,12,2,0.0786247234824341,4.19,4.889319700384614,0,0,585,17
192,2022-06-22,368,awful,47645,3861,0,5,21,33,27,12,2,0.0810368349249659,4.26,3.8172747364659414,0,0,398,28
191,2022-06-23,369,brink,53111,4118,0,4,22,41,24,7,1,0.0775357270621905,4.07,4.278042550636114,0,0,389,20
190,2022-06-24,370,smite,50617,3991,0,6,23,35,24,11,2,0.07884702767844795,4.21,5.386444899796735,0,0,557,51
189,2022-06-25,371,beady,46089,3670,0,3,19,39,29,10,1,0.07962854477207143,4.31,4.767164451407599,0,0,489,20
188,2022-06-26,372,rusty,50450,3954,0,9,37,34,13,5,1,0.07837462834489593,3.67,4.817205769941887,0,0,476,13
187,2022-06-27,373,retro,47986,3848,0,6,24,35,24,9,1,0.08019005543283457,4.05,4.628278495264941,1,1,715,13
186,2022-06-28,374,droll,47312,3844,0,2,16,31,31,17,3,0.08124788637132228,4.54,4.195725664930252,1,1,545,12
185,2022-06-29,375,gawky,45645,3957,0,1,5,22,33,28,10,0.08669076569175156,5.08,3.824531214120796,0,0,336,17
184,2022-06-30,376,hutch,44212,3758,0,1,12,28,28,21,9,0.08499954763412648,4.79,3.269056420170636,1,1,405,11
183,2022-07-01,377,pinto,47248,3792,0,5,25,41,22,6,1,0.08025736539112767,4.02,4.733047981316856,0,0,516,23
