date,hot
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,4
2022-01-09,15
2022-01-16,32
2022-01-23,54
2022-01-30,79
2022-02-06,88
2022-02-13,100
2022-02-20,94
2022-02-27,90
2022-03-06,86
2022-03-13,83
2022-03-20,88
2022-03-27,90
2022-04-03,85
2022-04-10,81
2022-04-17,77
2022-04-24,75
2022-05-01,71
2022-05-08,72
2022-05-15,70
2022-05-22,61
2022-05-29,58
2022-06-05,56
2022-06-12,52
2022-06-19,52
2022-06-26,47
2022-07-03,48
2022-07-10,45
2022-07-17,46
2022-07-24,41
2022-07-31,43
2022-08-07,41
2022-08-14,40
2022-08-21,40
2022-08-28,41
2022-09-04,37
2022-09-11,39
2022-09-18,36
2022-09-25,35
2022-10-02,34
2022-10-09,38
2022-10-16,33
2022-10-23,34
2022-10-30,36
2022-11-06,34
2022-11-13,37
2022-11-20,32
2022-11-27,31
2022-12-04,34
2022-12-11,34
2022-12-18,34
2022-12-25,36
2023-01-01,32
2023-01-08,36
2023-01-15,31
2023-01-22,32
2023-01-29,32
2023-02-05,34
2023-02-12,32