Number of  reported results,Date
80630,2022-01-07
101503,2022-01-08
91477,2022-01-09
107134,2022-01-10
153880,2022-01-11
137586,2022-01-12
132726,2022-01-13
169484,2022-01-14
205880,2022-01-15
209609,2022-01-16
222197,2022-01-17
220950,2022-01-18
280622,2022-01-19
243964,2022-01-20
273727,2022-01-21
241489,2022-01-22
269929,2022-01-23
258038,2022-01-24
276404,2022-01-25
302348,2022-01-26
331844,2022-01-27
296968,2022-01-28
313220,2022-01-29
294687,2022-01-30
341314,2022-01-31
351663,2022-02-01
361908,2022-02-02
358176,2022-02-03
359679,2022-02-04
319698,2022-02-05
311018,2022-02-06
288228,2022-02-07
336236,2022-02-08
305372,2022-02-09
304830,2022-02-10
278826,2022-02-11
269885,2022-02-12
277471,2022-02-13
261521,2022-02-14
287836,2022-02-15
289721,2022-02-16
342003,2022-02-17
265238,2022-02-18
282327,2022-02-19
273306,2022-02-20
278731,2022-02-21
306356,2022-02-22
277576,2022-02-23
250674,2022-02-24
255907,2022-02-25
248363,2022-02-26
250413,2022-02-27
251094,2022-02-28
240137,2022-03-01
257304,2022-03-02
240018,2022-03-03
203730,2022-03-04
229895,2022-03-05
218595,2022-03-06
218595,2022-03-07
207473,2022-03-08
201799,2022-03-09
208884,2022-03-10
226349,2022-03-11
192049,2022-03-12
179436,2022-03-13
185406,2022-03-14
202855,2022-03-15
217856,2022-03-16
169071,2022-03-17
179830,2022-03-18
156311,2022-03-19
154987,2022-03-20
173636,2022-03-21
160161,2022-03-22
156785,2022-03-23
169066,2022-03-24
150197,2022-03-25
149507,2022-03-26
165468,2022-03-27
173696,2022-03-28
149070,2022-03-29
158139,2022-03-30
135219,2022-03-31
144648,2022-04-01
155079,2022-04-02
124532,2022-04-03
129651,2022-04-04
121356,2022-04-05
117856,2022-04-06
117761,2022-04-07
141158,2022-04-08
134210,2022-04-09
126241,2022-04-10
109828,2022-04-11
114907,2022-04-12
123255,2022-04-13
113448,2022-04-14
129991,2022-04-15
107987,2022-04-16
106681,2022-04-17
112383,2022-04-18
108899,2022-04-19
102007,2022-04-20
97955,2022-04-21
119232,2022-04-22
95562,2022-04-23
97452,2022-04-24
91548,2022-04-25
103153,2022-04-26
98967,2022-04-27
88974,2022-04-28
106652,2022-04-29
77991,2022-04-30
77658,2022-05-01
95643,2022-05-02
85817,2022-05-03
107750,2022-05-04
85979,2022-05-05
76292,2022-05-06
74458,2022-05-07
72518,2022-05-08
88932,2022-05-09
74412,2022-05-10
79446,2022-05-11
75673,2022-05-12
77585,2022-05-13
73225,2022-05-14
67115,2022-05-15
68349,2022-05-16
70722,2022-05-17
73933,2022-05-18
70920,2022-05-19
69884,2022-05-20
66814,2022-05-21
67909,2022-05-22
66431,2022-05-23
63380,2022-05-24
62723,2022-05-25
63188,2022-05-26
63846,2022-05-27
60069,2022-05-28
56839,2022-05-29
60969,2022-05-30
62768,2022-05-31
63241,2022-06-01
61278,2022-06-02
65431,2022-06-03
58263,2022-06-04
56738,2022-06-05
58478,2022-06-06
58991,2022-06-07
61026,2022-06-08
60020,2022-06-09
55376,2022-06-10
51958,2022-06-11
56684,2022-06-12
53802,2022-06-13
59968,2022-06-14
55989,2022-06-15
53430,2022-06-16
54665,2022-06-17
47205,2022-06-18
55359,2022-06-19
50484,2022-06-20
53342,2022-06-21
47645,2022-06-22
53111,2022-06-23
50617,2022-06-24
46089,2022-06-25
50450,2022-06-26
47986,2022-06-27
47312,2022-06-28
45645,2022-06-29
44212,2022-06-30
47248,2022-07-01
41765,2022-07-02
40486,2022-07-03
42645,2022-07-04
44578,2022-07-05
47344,2022-07-06
43407,2022-07-07
42806,2022-07-08
47094,2022-07-09
41785,2022-07-10
40545,2022-07-11
46910,2022-07-12
46246,2022-07-13
40549,2022-07-14
39234,2022-07-15
38769,2022-07-16
39611,2022-07-17
42574,2022-07-18
39667,2022-07-19
42237,2022-07-20
39086,2022-07-21
43099,2022-07-22
36769,2022-07-23
39813,2022-07-24
39228,2022-07-25
39171,2022-07-26
38384,2022-07-27
40650,2022-07-28
37791,2022-07-29
37353,2022-07-30
39250,2022-07-31
36662,2022-08-01
34909,2022-08-02
38381,2022-08-03
37229,2022-08-04
37350,2022-08-05
38841,2022-08-06
36223,2022-08-07
35516,2022-08-08
36223,2022-08-09
37654,2022-08-10
37301,2022-08-11
34198,2022-08-12
35276,2022-08-13
31652,2022-08-14
35376,2022-08-15
35105,2022-08-16
35815,2022-08-17
34938,2022-08-18
33965,2022-08-19
38245,2022-08-20
35617,2022-08-21
35888,2022-08-22
33549,2022-08-23
33700,2022-08-24
36737,2022-08-25
34716,2022-08-26
31241,2022-08-27
30214,2022-08-28
34281,2022-08-29
33660,2022-08-30
35343,2022-08-31
31903,2022-09-01
35724,2022-09-02
31191,2022-09-03
32018,2022-09-04
32733,2022-09-05
32734,2022-09-06
30992,2022-09-07
31962,2022-09-08
32172,2022-09-09
29237,2022-09-10
27887,2022-09-11
29147,2022-09-12
29497,2022-09-13
32142,2022-09-14
33344,2022-09-15
37309,2022-09-16
33418,2022-09-17
33102,2022-09-18
35050,2022-09-19
31277,2022-09-20
31976,2022-09-21
34455,2022-09-22
31509,2022-09-23
32777,2022-09-24
28994,2022-09-25
31706,2022-09-26
30985,2022-09-27
31355,2022-09-28
30477,2022-09-29
31223,2022-09-30
28202,2022-10-01
30088,2022-10-02
32288,2022-10-03
32014,2022-10-04
30935,2022-10-05
32522,2022-10-06
29026,2022-10-07
26905,2022-10-08
28408,2022-10-09
26878,2022-10-10
28575,2022-10-11
29151,2022-10-12
27197,2022-10-13
28906,2022-10-14
30403,2022-10-15
30459,2022-10-16
31269,2022-10-17
28612,2022-10-18
28322,2022-10-19
28741,2022-10-20
28637,2022-10-21
29084,2022-10-22
29279,2022-10-23
28947,2022-10-24
28953,2022-10-25
30063,2022-10-26
27609,2022-10-27
27905,2022-10-28
25156,2022-10-29
24672,2022-10-30
26498,2022-10-31
27502,2022-11-01
27670,2022-11-02
29554,2022-11-03
27330,2022-11-04
29743,2022-11-05
31068,2022-11-06
26096,2022-11-07
27213,2022-11-08
28984,2022-11-09
27467,2022-11-10
25993,2022-11-11
24660,2022-11-12
25085,2022-11-13
26536,2022-11-14
27475,2022-11-15
25576,2022-11-16
27465,2022-11-17
29208,2022-11-18
24749,2022-11-19
24991,2022-11-20
24288,2022-11-21
27437,2022-11-22
26663,2022-11-23
27705,2022-11-24
24197,2022-11-25
26381,2022-11-26
25206,2022-11-27
26051,2022-11-28
23739,2022-11-29
25569,2022-11-30
22628,2022-12-01
24646,2022-12-02
23873,2022-12-03
25577,2022-12-04
23153,2022-12-05
23509,2022-12-06
24899,2022-12-07
21199,2022-12-08
23640,2022-12-09
21157,2022-12-10
21947,2022-12-11
22873,2022-12-12
24101,2022-12-13
20824,2022-12-14
22176,2022-12-15
22853,2022-12-16
22336,2022-12-17
22166,2022-12-18
26010,2022-12-19
24137,2022-12-20
22180,2022-12-21
20490,2022-12-22
21937,2022-12-23
20281,2022-12-24
15554,2022-12-25
20011,2022-12-26
20879,2022-12-27
20160,2022-12-28
20001,2022-12-29
21204,2022-12-30
20380,2022-12-31