Word,date,count,Hard Mode Count,
,606,2023-02-15,"20,108","1,994"
,605,2023-02-14,"23,229","2,223"
,604,2023-02-13,"20,060","1,889"
,603,2023-02-12,"20,926","1,990"
,602,2023-02-11,"19,341","1,926"
,601,2023-02-10,"21,351","2,003"
,600,2023-02-09,"23,815","2,322"
,599,2023-02-08,"20,439","2,001"
,598,2023-02-07,"22,817","2,079"
,597,2023-02-06,"20,174","1,949"
,596,2023-02-05,"21,678","2,059"
,595,2023-02-04,"20,283","1,962"
,594,2023-02-03,"21,485","2,058"
,593,2023-02-02,"21,960","2,082"
,592,2023-02-01,"21,569","2,039"
,590,2023-01-30,"22,538","2,148"
,589,2023-01-29,"21,115","2,032"
,588,2023-01-28,"21,916","2,036"
,587,2023-01-27,"20,810","1,974"
,586,2023-01-26,"20,598","1,983"
,585,2023-01-25,"21,153","2,060"
,584,2023-01-24,"23,047","2,135"
,583,2023-01-23,"20,894","1,998"
,582,2023-01-22,"20,862","1,961"
,581,2023-01-21,"20,481","1,948"
,580,2023-01-20,"22,818","2,158"
,579,2023-01-19,"22,670","2,186"
,578,2023-01-18,"22,775","2,176"
,577,2023-01-17,"21,946","2,081"
,576,2023-01-16,"22,147","2,131"
,575,2023-01-15,"24,058","2,310"
,574,2023-01-14,"19,542","1,921"
,573,2023-01-13,"20,879","2,057"
,572,2023-01-12,"22,606","2,218"
,571,2023-01-11,"22,194","2,128"
,570,2023-01-10,"22,248","2,157"
,569,2023-01-09,"20,248","2,049"
,568,2023-01-08,"21,510","2,054"
,567,2023-01-07,"21,946","2,072"
,,2023-01-06,19725,1936
,,2023-01-05,22283,2078
,,2023-01-04,22394,2207
,,2023-01-03,22018,2072
,,2023-01-02,22252,2094
,,2023-01-01,22072,2132